,Live,Dead
Median Inundation Frequency (%),0.156118139625,0.274261593819
Median Distance to Estuary (m),1608.01123047,1612.20349121
Median Distance to Artificial Drainage (m),408.044128418,436.80657959
Median Elevation (m),0.518160045147,0.475487977266
