,Live,Dead
Median Inundation Frequency (%),0.122362866998,0.216216221452
Median Distance to Estuary (m),758.946655273,1056.83483887
Median Distance to Artificial Drainage (m),361.247833252,366.196655273
Median Elevation (m),0.37490400672,0.329184025526
