Land Cover Class,Pixel Count (Dead),Total Dead Trees,Pixel Count (Live),% Experiencing Mortality
Deciduous Forest,1,1,20,4.8
Scrub/Shrub,135,270,668,16.8
Palustrine Forested Wetland,3107,13207,4251,42.2
Palustrine Scrub/Shrub Wetland,2237,8302,2906,43.5
Estuarine Scrub/Shrub Wetland,237,698,176,57.4
