Land Cover Class,Pixel Count (Dead),Dead Tree Area (m^2),Total Dead Trees,Live Tree Area (m^2),% Experiencing Mortality
Palustrine Forested Wetland,6568,5911200,21296,12028500,32.95
Palustrine Scrub/Shrub Wetland,1426,1283400,3547,5158800,19.92
Estuarine Scrub/Shrub Wetland,3,2700,11,5400,33.33
