,Live,Dead
Median Inundation Frequency (%),0.183673471212,0.224489793181
Median Distance to Estuary (m),1635.75628662,1520.85498047
Median Distance to Artificial Drainage (m),1859.75805664,1537.33532715
Median Elevation (m),3.04190397263,2.65785622597
