,Live,Dead
Median Inundation Frequency (%),0.12925170362,0.194630876184
Median Distance to Estuary (m),4498.19970703,4540.31933594
Median Distance to Artificial Drainage (m),2214.52026367,2022.49841309
Median Elevation (m),9.835896492,9.4335603714
