Land Cover Class,Pixel Count (Dead),Dead Tree Area (m^2),Total Dead Trees,Live Tree Area (m^2),% Experiencing Mortality
Deciduous Forest,110,99000,210,549000,15.28
Scrub/Shrub,593,533700,981,7419600,6.71
Palustrine Forested Wetland,99376,89438400,193981,310604400,22.36
Palustrine Scrub/Shrub Wetland,7140,6426000,18890,22654800,22.10
Estuarine Scrub/Shrub Wetland,67,60300,193,67500,47.18
