,Live,Dead
Median Inundation Frequency (%),0.364864856005,0.400843888521
Median Distance to Estuary (m),785.175109863,982.700378418
Median Distance to Artificial Drainage (m),1474.88977051,1440.3125
Median Elevation (m),0.435864001513,0.445008009672
